Image,Task 3 (Damage),Task 5 (Vehicle),Task 6 (Visibility),Task 7 (Time),Task 8 (Multiple),Overall Result
kaggle/Car damages 444_det01_0756px_vehicle_0p877.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 445_det01_0696px_vehicle_0p885.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 448_det01_0795px_vehicle_0p852.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 449_det01_0645px_vehicle_0p869.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 452_det01_0421px_vehicle_0p798.png,None,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 451_det01_0796px_vehicle_0p838.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 450_det01_0640px_vehicle_0p658.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 455_det01_0435px_vehicle_0p780.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 453_det01_0456px_vehicle_0p581.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 446_det01_0654px_vehicle_0p592.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 454_det01_0649px_vehicle_0p649.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 456_det01_0485px_vehicle_0p650.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 457_det01_0367px_vehicle_0p830.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 460_det01_0460px_vehicle_0p795.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 458_det01_0350px_vehicle_0p786.png,Minor,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 461_det01_0413px_vehicle_0p780.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 462_det01_0462px_vehicle_0p590.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 459_det01_0444px_vehicle_0p799.png,Minor,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 465_det01_0521px_vehicle_0p714.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 463_det01_0473px_vehicle_0p789.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 464_det01_0473px_vehicle_0p833.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 467_det01_0430px_vehicle_0p801.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 466_det01_1075px_vehicle_0p887.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 468_det01_0379px_vehicle_0p823.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 471_det01_0453px_vehicle_0p747.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 470_det01_0387px_vehicle_0p815.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 469_det01_0332px_vehicle_0p702.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 472_det01_0465px_vehicle_0p876.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 477_det02_0231px_vehicle_0p499.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 473_det01_0431px_vehicle_0p819.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 474_det01_0369px_vehicle_0p825.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 477_det01_0553px_vehicle_0p553.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 476_det01_0409px_vehicle_0p772.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 481_det01_0377px_vehicle_0p797.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 479_det01_0332px_vehicle_0p812.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 480_det02_0330px_vehicle_0p607.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 478_det01_0767px_vehicle_0p880.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 483_det01_0429px_vehicle_0p778.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 484_det01_0416px_vehicle_0p810.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 482_det01_0419px_vehicle_0p774.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 485_det02_0226px_vehicle_0p524.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 485_det01_0298px_vehicle_0p563.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 486_det01_0350px_vehicle_0p789.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 487_det01_0407px_vehicle_0p845.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 492_det01_0386px_vehicle_0p478.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 488_det01_0439px_vehicle_0p792.png,Minor,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 489_det01_0507px_vehicle_0p841.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 490_det01_0749px_vehicle_0p859.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 491_det01_0445px_vehicle_0p772.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 494_det01_0448px_vehicle_0p806.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 493_det01_0365px_vehicle_0p787.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 495_det01_0345px_vehicle_0p825.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 496_det01_0427px_vehicle_0p812.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 497_det01_0488px_vehicle_0p591.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 499_det01_0465px_vehicle_0p809.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 502_det01_0705px_vehicle_0p682.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 501_det01_0599px_vehicle_0p557.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 500_det01_0446px_vehicle_0p854.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 504_det01_0288px_vehicle_0p550.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 498_det01_0456px_vehicle_0p774.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 503_det01_0431px_vehicle_0p821.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 505_det01_0411px_vehicle_0p822.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 506_det01_0485px_vehicle_0p574.png,Moderate,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 599_det02_0518px_vehicle_0p582.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 718_det01_0521px_vehicle_0p720.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 152_det01_0432px_vehicle_0p832.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 598_det01_0437px_vehicle_0p616.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 153_det01_0545px_vehicle_0p700.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 719_det01_0479px_vehicle_0p541.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 720_det01_0478px_vehicle_0p571.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1543_det01_0593px_vehicle_0p479.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1544_det01_0749px_vehicle_0p735.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 721_det01_0461px_vehicle_0p728.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1545_det01_0738px_vehicle_0p722.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 722_det01_0450px_vehicle_0p476.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 723_det02_0405px_vehicle_0p515.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 723_det01_0787px_vehicle_0p539.png,Moderate,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1547_det01_0736px_vehicle_0p608.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1546_det01_0819px_vehicle_0p890.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 724_det01_0500px_vehicle_0p620.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1548_det02_0228px_vehicle_0p565.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1548_det01_0737px_vehicle_0p721.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 725_det01_0421px_vehicle_0p806.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 726_det01_0459px_vehicle_0p477.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 155_det01_0624px_vehicle_0p841.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1549_det01_0579px_vehicle_0p633.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 728_det01_0472px_vehicle_0p641.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 727_det01_0482px_vehicle_0p723.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 154_det01_0738px_vehicle_0p630.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 156_det01_0634px_vehicle_0p781.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 730_det01_0536px_vehicle_0p502.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 729_det02_0547px_vehicle_0p635.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1573_det04_0225px_vehicle_0p456.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1574_det01_0508px_vehicle_0p752.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1573_det01_0462px_vehicle_0p514.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1575_det01_0757px_vehicle_0p787.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 731_det02_0221px_vehicle_0p538.png,Moderate,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 731_det01_0463px_vehicle_0p606.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 733_det02_0436px_vehicle_0p628.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1576_det01_0773px_vehicle_0p744.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 734_det01_0475px_vehicle_0p486.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1577_det01_0275px_vehicle_0p578.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1578_det01_0739px_vehicle_0p576.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 736_det01_0220px_vehicle_0p536.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 735_det01_0704px_vehicle_0p797.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 157_det01_0586px_vehicle_0p633.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 736_det02_0445px_vehicle_0p559.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 737_det01_0571px_vehicle_0p652.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1580_det01_0739px_vehicle_0p847.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 738_det01_0497px_vehicle_0p769.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1581_det01_0764px_vehicle_0p891.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1582_det03_0756px_vehicle_0p628.png,Moderate,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 740_det02_0273px_vehicle_0p516.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1584_det01_0725px_vehicle_0p548.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 740_det01_0430px_vehicle_0p657.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1583_det01_0707px_vehicle_0p846.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 741_det01_0446px_vehicle_0p588.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 742_det02_0229px_vehicle_0p588.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1585_det01_0761px_vehicle_0p509.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1585_det03_0308px_vehicle_0p462.png,None,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 742_det01_0473px_vehicle_0p626.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1586_det02_0325px_vehicle_0p513.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 1586_det01_0538px_vehicle_0p557.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 743_det01_0465px_vehicle_0p574.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1587_det01_0860px_vehicle_0p839.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 743_det02_0275px_vehicle_0p470.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 744_det01_0458px_vehicle_0p770.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1588_det01_0755px_vehicle_0p632.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 745_det01_0525px_vehicle_0p809.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1589_det01_0765px_vehicle_0p708.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 747_det01_0729px_vehicle_0p878.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 158_det01_0629px_vehicle_0p884.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 746_det01_0566px_vehicle_0p707.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1590_det01_0785px_vehicle_0p766.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 748_det01_0249px_vehicle_0p620.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 748_det02_0491px_vehicle_0p607.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1591_det01_0780px_vehicle_0p895.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 750_det01_0450px_vehicle_0p555.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1592_det01_0791px_vehicle_0p666.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1592_det02_0341px_vehicle_0p466.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 752_det01_0494px_vehicle_0p493.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 753_det01_0541px_vehicle_0p627.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1593_det01_0647px_vehicle_0p848.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1594_det01_0772px_vehicle_0p766.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 754_det01_0457px_vehicle_0p575.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 754_det03_0297px_vehicle_0p471.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1595_det01_0531px_vehicle_0p619.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1595_det02_0251px_vehicle_0p585.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 755_det01_0450px_vehicle_0p560.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1596_det01_0754px_vehicle_0p809.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 757_det02_0275px_vehicle_0p478.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 756_det01_0488px_vehicle_0p606.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1598_det02_0201px_vehicle_0p599.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1598_det01_0562px_vehicle_0p677.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 757_det01_0433px_vehicle_0p639.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1599_det01_0777px_vehicle_0p780.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 758_det01_0561px_vehicle_0p539.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 15_det01_0365px_vehicle_0p510.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 760_det01_0500px_vehicle_0p803.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 759_det01_0490px_vehicle_0p877.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 15_det02_0212px_vehicle_0p473.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 159_det01_0612px_vehicle_0p793.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1600_det01_0641px_vehicle_0p832.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 761_det01_0526px_vehicle_0p620.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 762_det01_0517px_vehicle_0p580.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1601_det01_0765px_vehicle_0p761.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1601_det02_0224px_vehicle_0p662.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 763_det01_0515px_vehicle_0p529.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1603_det01_0227px_vehicle_0p573.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1602_det01_0757px_vehicle_0p562.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 765_det01_0492px_vehicle_0p629.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 764_det01_0447px_vehicle_0p464.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 767_det01_0291px_vehicle_0p480.png,Severe,PASS,FAIL,FAIL,FAIL,FAIL
kaggle/Car damages 766_det01_0457px_vehicle_0p558.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1603_det02_0769px_vehicle_0p590.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1604_det01_0721px_vehicle_0p866.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1605_det01_0705px_vehicle_0p902.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 767_det02_0552px_vehicle_0p636.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 768_det01_0503px_vehicle_0p505.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1606_det01_0298px_vehicle_0p544.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 769_det01_0529px_vehicle_0p455.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1606_det02_0721px_vehicle_0p622.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1608_det01_0712px_vehicle_0p895.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 771_det02_0241px_vehicle_0p578.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 771_det01_0526px_vehicle_0p650.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1609_det01_0640px_vehicle_0p710.png,None,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1607_det01_0786px_vehicle_0p575.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 773_det01_0234px_vehicle_0p491.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 772_det01_0610px_vehicle_0p705.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 160_det01_0586px_vehicle_0p806.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 773_det02_0439px_vehicle_0p587.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 775_det01_0572px_vehicle_0p633.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1611_det01_0716px_vehicle_0p738.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 774_det01_0692px_vehicle_0p856.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 776_det01_0527px_vehicle_0p551.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1613_det01_0471px_vehicle_0p709.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 776_det02_0312px_vehicle_0p488.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1614_det01_0737px_vehicle_0p660.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1612_det01_0804px_vehicle_0p649.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 1614_det03_0215px_vehicle_0p541.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 777_det01_0462px_vehicle_0p636.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 928_det02_0205px_vehicle_0p567.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 930_det01_0523px_vehicle_0p609.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1174_det01_0706px_vehicle_0p655.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 930_det02_0279px_vehicle_0p529.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1172_det02_0641px_vehicle_0p647.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1173_det01_0700px_vehicle_0p877.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 276_det02_0670px_vehicle_0p604.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 275_det01_0725px_vehicle_0p768.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 277_det01_0651px_vehicle_0p879.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1175_det02_0638px_vehicle_0p659.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 278_det01_0471px_vehicle_0p562.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 931_det01_0445px_vehicle_0p588.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 27_det01_0532px_vehicle_0p621.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1177_det01_0664px_vehicle_0p817.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 932_det01_0516px_vehicle_0p624.png,Moderate,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1176_det01_0719px_vehicle_0p594.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 279_det01_0692px_vehicle_0p892.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 932_det02_0348px_vehicle_0p557.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1178_det01_0665px_vehicle_0p868.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 281_det01_0794px_vehicle_0p594.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 933_det01_0677px_vehicle_0p866.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1179_det01_0702px_vehicle_0p676.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 282_det01_0706px_vehicle_0p671.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 284_det01_0732px_vehicle_0p494.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1180_det01_0363px_vehicle_0p809.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 934_det01_0524px_vehicle_0p542.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 934_det02_0263px_vehicle_0p520.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 117_det01_0602px_vehicle_0p492.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 283_det01_0676px_vehicle_0p879.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 935_det01_0478px_vehicle_0p701.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 285_det02_0208px_vehicle_0p480.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1181_det01_0491px_vehicle_0p508.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 285_det01_0569px_vehicle_0p533.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 937_det01_0415px_vehicle_0p678.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1181_det02_0360px_vehicle_0p483.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 936_det01_0458px_vehicle_0p501.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 286_det01_0706px_vehicle_0p641.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1182_det01_0740px_vehicle_0p895.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1183_det01_0725px_vehicle_0p846.png,None,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 938_det01_0557px_vehicle_0p566.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 938_det02_0281px_vehicle_0p541.png,Minor,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 1184_det01_0630px_vehicle_0p711.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 287_det01_0777px_vehicle_0p883.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 289_det01_0582px_vehicle_0p860.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1185_det01_0713px_vehicle_0p632.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 288_det01_0796px_vehicle_0p835.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 939_det01_0507px_vehicle_0p654.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 940_det01_0549px_vehicle_0p611.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 28_det01_0549px_vehicle_0p767.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 941_det01_0478px_vehicle_0p460.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1186_det01_0708px_vehicle_0p688.png,Moderate,PASS,PASS,PASS,PASS,PASS
